Antigen,Study,Clone,Cat_Number,Oligo_ID,TotalSeq_Cat,Vendor,Control,RRID,Lot,Custom_Antibody
CD324 (E-Cadherin),Mimitou_2021,67A4,324125,0135,A,BioLegend,FALSE,NA,NA,NA
CD324 (E-Cadherin),Qian_2020,67A4,324125,0135,A,BioLegend,FALSE,NA,NA,NA
CD324 (E-Cadherin),Liu_2021,67A4,324127,0135,C,BioLegend,FALSE,AB_2832636,NA,NA
CD324 (E-Cadherin),Su_2020,67A4,324127,0135,C,NA,FALSE,NA,NA,NA
CD324 (E-Cadherin),Stephenson_2021,67A4,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD325,PomboAntunes_2021,8C11,350817,0433,A,BioLegend,FALSE,AB_2810555,NA,NA
CD325 (N-Cadherin),Hao_2021,8C11,350817,0433,A,BioLegend,FALSE,AB_2810555,NA,NA
CD325 (N-Cadherin),Mimitou_2021,8C11,350817,0433,A,BioLegend,FALSE,NA,NA,NA
CD326,PomboAntunes_2021,9C4,324241,0123,A,BioLegend,FALSE,AB_2750362,NA,NA
CD326,Fidanza_2020,9C4,NA,NA,A,BioLegend,FALSE,NA,NA,NA
CD326 (Ep-CAM),Qian_2020,9C4,324241,0123,A,BioLegend,FALSE,NA,NA,NA
CD326 (Ep-CAM),Liu_2021,9C4,324247,0123,C,BioLegend,FALSE,AB_2814181,NA,NA
CD326 (Ep-CAM),Su_2020,9C4,324247,0123,C,NA,FALSE,NA,NA,NA
CD326 (Ep-CAM),Stephenson_2021,9C4,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD328 (Siglec-7),Liu_2021,6-434,339213,0902,C,BioLegend,FALSE,AB_2814249,NA,NA
CD328 (Siglec-7),Stephenson_2021,6-434,339213,0902,C,BioLegend,FALSE,NA,NA,NA
CD328 (Siglec-7),Su_2020,6-434,339213,0902,C,NA,FALSE,NA,NA,NA
CD328 (Siglec-7),LeCoz_2021,6-434,339213,0902,C,BioLegend,FALSE,NA,NA,NA
CD33,Fernandez_2020,WM53,303410,NA,NA,BioLegend,FALSE,NA,NA,NA
CD33,Arunachalam_2020,P67.6,366629,0052,A,BioLegend,FALSE,AB_2734409,NA,NA
CD33,Granja_2019,P67.6,366629,0052,A,BioLegend,FALSE,AB_2734409,NA,NA
CD33,Kotliarov_2020,P67.6,366629,0052,A,BioLegend,FALSE,AB_2734409,B259970,FALSE
CD33,Pei_2020,P67.6,366629,0052,A,NA,FALSE,AB_2734409,NA,NA
CD33,Witkowski_2020,P67.6,366629,0052,A,BioLegend,FALSE,AB_2734409,B276154,NA
CD33,PomboAntunes_2021,P67.6,366629,0052,A,BioLegend,FALSE,AB_2734409,NA,NA
CD33,Qian_2020,P67.6,366629,0052,A,BioLegend,FALSE,NA,NA,NA
CD33,Liu_2021,P67.6,366633,0052,C,BioLegend,FALSE,AB_2801008,NA,NA
CD33,Stephenson_2021,P67.6,366633,0052,C,BioLegend,FALSE,NA,NA,NA
CD33,Su_2020,P67.6,366633,0052,C,NA,FALSE,NA,NA,NA
CD33,LeCoz_2021,P67.6,366633,0052,C,BioLegend,FALSE,NA,NA,NA
CD33,Trzupek_2020,WM53,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD33,Trzupek_2020,WM53,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD33,Trzupek_2020,WM53,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD33,Fidanza_2020,P67.6,NA,NA,A,BioLegend,FALSE,NA,NA,NA
CD335,PomboAntunes_2021,900,331943,0101,A,BioLegend,FALSE,AB_2800875,NA,NA
CD335,10x29May2019,NA,NA,NA,B,BioLegend,FALSE,NA,NA,NA
CD335 (NKp46),Liu_2021,9E+02,331941,0101,C,BioLegend,FALSE,AB_2800874,NA,NA
CD335 (NKp46),Stephenson_2021,9E2,331941,0101,C,BioLegend,FALSE,NA,NA,NA
CD335 (NKp46),Su_2020,9E2,331941,0101,C,NA,FALSE,NA,NA,NA
CD335 (NKp46),LeCoz_2021,9E2,331941,0101,C,BioLegend,FALSE,NA,NA,NA
CD335 (NKp46),Hao_2021,900,331943,0101,A,BioLegend,FALSE,AB_2800875,NA,NA
CD335 (NKp46),Mimitou_2021,900,331943,0101,A,BioLegend,FALSE,NA,NA,NA
CD335 (NKp46),Qian_2020,9E2,331943,0101,A,BioLegend,FALSE,NA,NA,NA
CD335 (NKp46),Trzupek_2021,9-E2,940064,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD335 (NKp46),Trzupek_2020,9-E2,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD336 (NKp44),Liu_2021,P44-8,325119,0802,C,BioLegend,FALSE,AB_2810484,NA,NA
CD336 (NKp44),Su_2020,P44-8,325119,0802,C,NA,FALSE,NA,NA,NA
CD336 (NKp44),Stephenson_2021,P44-8,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD337,PomboAntunes_2021,P30-15,325221,0801,A,BioLegend,FALSE,AB_2800852,NA,NA
CD337 (NKp30),Liu_2021,P30-15,325219,0801,C,BioLegend,FALSE,AB_2800851,NA,NA
CD337 (NKp30),Su_2020,P30-15,325219,0801,C,NA,FALSE,NA,NA,NA
CD337 (NKp30),Hao_2021,P30-15,325221,0801,A,BioLegend,FALSE,AB_2800852,NA,NA
CD337 (NKp30),Mimitou_2021,P30-15,325221,0801,A,BioLegend,FALSE,NA,NA,NA
CD337 (NKp30),Stephenson_2021,P30-15,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD338,PomboAntunes_2021,5D3,332021,0569,A,BioLegend,FALSE,AB_2783216,NA,NA
CD338 (ABCG2),Hao_2021,5D3,332021,0569,A,BioLegend,FALSE,AB_2783216,NA,NA
CD338 (ABCG2),Mimitou_2021,5D3,332021,0569,A,BioLegend,FALSE,NA,NA,NA
CD338 (ABCG2),Qian_2020,5D3,332021,0569,A,BioLegend,FALSE,NA,NA,NA
CD34,Arunachalam_2020,581,343537,0054,A,BioLegend,FALSE,AB_2749972,NA,NA
CD34,Hao_2021,581,343537,0054,A,BioLegend,FALSE,AB_2749972,NA,NA
CD34,Kotliarov_2020,581,343537,0054,A,BioLegend,FALSE,AB_2749972,B264482,FALSE
CD34,Pei_2020,581,343537,0054,A,NA,FALSE,AB_2749972,NA,NA
CD34,Witkowski_2020,581,343537,0054,A,BioLegend,FALSE,AB_2749972,B273771,NA
CD34,Wu_2021_b,581,343537,0054,A,BioLegend,FALSE,AB_2749972,NA,NA
CD34,PomboAntunes_2021,581,343537,0054,A,BioLegend,FALSE,AB_2749972,NA,NA
CD34,Mimitou_2021,581,343537,0054,A,BioLegend,FALSE,NA,NA,NA
CD34,Qian_2020,581,343537,0054,A,BioLegend,FALSE,NA,NA,NA
CD34,Stuart_2019,581,343537,0054,NA,NA,FALSE,AB_2749972,NA,NA
CD34,Vanuytsel_2020,581,343537,0054,NA,BioLegend,FALSE,AB_2749972,NA,NA
CD34,Liu_2021,581,343541,0054,C,BioLegend,FALSE,NA,NA,NA
CD34,Su_2020,581,343541,0054,C,NA,FALSE,NA,NA,NA
CD34,Qi_2020,581,940021,AHS0061,NA,BD Biosciences,FALSE,NA,NA,NA
CD34,Hao_2021,581,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD34,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD34,Mimitou_2019,581,NA,NA,NA,NA,FALSE,NA,NA,NA
CD34,Stephenson_2021,581,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD34,Stoeckius_2017,581,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD34,10x29May2019,NA,NA,NA,B,BioLegend,FALSE,NA,NA,NA
CD34,Trzupek_2020,581,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD34,Trzupek_2020,581,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD340,PomboAntunes_2021,24D2,324423,0133,A,BioLegend,FALSE,AB_2810483,NA,NA
CD340 (erbB2/HER-2),Hao_2021,24D2,324423,0133,A,BioLegend,FALSE,AB_2810483,NA,NA
CD340 (erbB2/HER-2),Mimitou_2021,24D2,324423,0133,A,BioLegend,FALSE,NA,NA,NA
CD340 (erbB2/HER-2),Qian_2020,24D2,324423,0133,A,BioLegend,FALSE,NA,NA,NA
CD35,Hao_2021,E11,333407,0167,A,BioLegend,FALSE,AB_2783217,NA,NA
CD35,PomboAntunes_2021,E11,333407,0167,A,BioLegend,FALSE,AB_2783217,NA,NA
CD35,Mimitou_2021,E11,333407,0167,A,BioLegend,FALSE,NA,NA,NA
CD35,Qian_2020,E11,333407,0167,A,BioLegend,FALSE,NA,NA,NA
CD35,Liu_2021,E11,333409,0167,C,BioLegend,FALSE,AB_2800876,NA,NA
CD35,Stephenson_2021,E11,333409,0167,C,BioLegend,FALSE,NA,NA,NA
CD35,Su_2020,E11,333409,0167,C,NA,FALSE,NA,NA,NA
CD35,LeCoz_2021,E11,333409,0167,C,BioLegend,FALSE,NA,NA,NA
CD35,Qi_2020,E11,940248,AHS0162,NA,BD Biosciences,FALSE,NA,NA,NA
CD352 (NTB-A),LeCoz_2021,NT-7,317213,0864,C,BioLegend,FALSE,NA,NA,NA
CD354,Hao_2021,TREM-26,NA,NA,A,BioLegend,FALSE,NA,NA,NA
CD354,PomboAntunes_2021,NA,NA,0586,A,BioLegend,FALSE,N/A,NA,NA
CD354 (TREM-1),Mimitou_2021,TREM-26,314910,0586,A,BioLegend,FALSE,NA,NA,NA
CD357,PomboAntunes_2021,108-17,371225,0360,A,BioLegend,FALSE,AB_2801016,NA,NA
CD357 (GITR),Hao_2021,108-17,371225,0360,A,BioLegend,FALSE,AB_2801016,NA,NA
CD357 (GITR),Mimitou_2021,108-17,371225,0360,A,BioLegend,FALSE,NA,NA,NA
CD357 (GITR),Qian_2020,108-17,371225,0360,A,BioLegend,FALSE,NA,NA,NA
CD357 (GITR),Liu_2021,108-17,371227,0360,C,BioLegend,FALSE,AB_2810583,NA,NA
CD357 (GITR),Su_2020,108-17,371227,0360,C,NA,FALSE,NA,NA,NA
CD357 (GITR),Kotliarov_2020,108-17,custom made (similar to 95303),0360,A,BioLegend,FALSE,NA,B267222,TRUE
CD357 (GITR),Stephenson_2021,108-17,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD36,Hao_2021,5-271,336225,0407,A,BioLegend,FALSE,AB_2800892,NA,NA
CD36,Pei_2020,5-271,336225,0407,A,NA,FALSE,AB_2800892,NA,NA
CD36,Witkowski_2020,5-271,336225,0407,A,BioLegend,FALSE,AB_2800892,B277728,NA
CD36,Wu_2021_b,5-271,336225,0407,A,BioLegend,FALSE,AB_2800892,NA,NA
CD36,PomboAntunes_2021,5-271,336225,0407,A,BioLegend,FALSE,AB_2800892,NA,NA
CD36,Mimitou_2021,5-271,336225,0407,A,BioLegend,FALSE,NA,NA,NA
CD36,Liu_2021,5-271,336227,0407,C,BioLegend,FALSE,AB_2800893,NA,NA
CD36,Stephenson_2021,5-271,336227,0407,C,BioLegend,FALSE,NA,NA,NA
CD36,Su_2020,5-271,336227,0407,C,NA,FALSE,NA,NA,NA
CD36,LeCoz_2021,5-271,336227,0407,C,BioLegend,FALSE,NA,NA,NA
CD360 (IL-21R),Liu_2021,4B2.9,NA,0985,C,BioLegend,FALSE,NA,NA,NA
CD360 (IL-21R),Su_2020,4B2.9,NA,0985,C,NA,FALSE,NA,NA,NA
CD360 (IL-21R),Stephenson_2021,4B2.9,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD365,PomboAntunes_2021,1D12,353907,0869,A,BioLegend,FALSE,AB_2814294,NA,NA
CD366,Papalexi_2021,F38-2E2,345002,NA,NA,BioLegend,FALSE,NA,NA,NA
CD366,PomboAntunes_2021,F38-2E2,345047,0169,A,BioLegend,FALSE,AB_2800924,NA,NA
CD366,Buus_2021,F38-2E2,345049,0169,C,BioLegend,FALSE,AB_2800925,NA,NA
CD366,Papalexi_2021,F38-2E2,345049,169,C,BioLegend,FALSE,AB_2800925,NA,NA
CD366 (Tim-3),Hao_2021,F38-2E2,345047,0169,A,BioLegend,FALSE,AB_2800924,NA,NA
CD366 (Tim-3),Mimitou_2021,F38-2E2,345047,0169,A,BioLegend,FALSE,NA,NA,NA
CD366 (Tim-3),Qian_2020,F38-2E2,345047,0169,A,BioLegend,FALSE,NA,NA,NA
CD366 (Tim-3),Liu_2021,F38-2E2,345049,0169,C,BioLegend,FALSE,AB_2800925,NA,NA
CD366 (Tim-3),Su_2020,F38-2E2,345049,0169,C,NA,FALSE,NA,NA,NA
CD366 (Tim-3),Kotliarov_2020,F38-2E2,custom made (similar to 95048),0169,A,BioLegend,FALSE,NA,B267452,TRUE
CD366 (Tim-3),Stephenson_2021,F38-2E2,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD366 (tim3),Hao_2021,F38-2E2,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD366 (tim3),Mimitou_2019,F38-2E2,NA,NA,NA,NA,FALSE,NA,NA,NA
CD370,PomboAntunes_2021,8F9,353807,0207,A,BioLegend,FALSE,AB_2814293,NA,NA
CD370 (CLEC9A),Arunachalam_2020,8F9,353807,0207,A,BioLegend,FALSE,AB_2814293,NA,NA
CD370 (CLEC9A/DNGR1),Hao_2021,8F9,353807,0207,A,BioLegend,FALSE,AB_2814293,NA,NA
CD370 (CLEC9A/DNGR1),Mimitou_2021,8F9,353807,0207,A,BioLegend,FALSE,NA,NA,NA
CD370 (CLEC9A/DNGR1),Liu_2021,8F9,353809,0207,C,BioLegend,FALSE,AB_2819998,NA,NA
CD370 (CLEC9A/DNGR1),Su_2020,8F9,353809,0207,C,NA,FALSE,NA,NA,NA
CD370 (CLEC9A/DNGR1),Stephenson_2021,8F9,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD371,PomboAntunes_2021,50C1,353613,0853,A,BioLegend,FALSE,AB_2800948,NA,NA
CD371 (CLEC12A),Hao_2021,50C1,353613,0853,A,BioLegend,FALSE,AB_2800948,NA,NA
CD38,Stuart_2019,HIT2,102733,0557,NA,NA,FALSE,AB_2750556,NA,NA
CD38,Kaufmann_2021,HIT2,303502,NA,NA,BioLegend,FALSE,NA,B213310,NA
CD38,Arunachalam_2020,HIT2,303541,0389,A,BioLegend,FALSE,AB_2783161,NA,NA
CD38,Hao_2021,HIT2,303541,0389,A,BioLegend,FALSE,AB_2783161,NA,NA
CD38,Pei_2020,HIT2,303541,0389,A,NA,FALSE,AB_2783161,NA,NA
CD38,Witkowski_2020,HIT2,303541,0389,A,BioLegend,FALSE,AB_2783161,B274648,NA
CD38,Wu_2021_b,HIT2,303541,0389,A,BioLegend,FALSE,AB_2783161,NA,NA
CD38,PomboAntunes_2021,HIT2,303541,0389,A,BioLegend,FALSE,AB_2783161,NA,NA
CD38,Mimitou_2021,HIT2,303541,0389,A,BioLegend,FALSE,NA,NA,NA
CD38,Qian_2020,HIT2,303541,0389,A,BioLegend,FALSE,NA,NA,NA
CD38,Nathan_2021,HIT2,303541,0389,NA,NA,FALSE,AB_2783161,NA,NA
CD38,Vanuytsel_2020,HIT2,303541,0389,NA,BioLegend,FALSE,AB_2783161,NA,NA
CD38,Liu_2021,HIT2,303543,0389,C,BioLegend,FALSE,AB_2800758,NA,NA
CD38,Shangguan_2021,HIT2,303543,0389,C,BioLegend,FALSE,AB_2800758,NA,NA
CD38,Stephenson_2021,HIT2,303543,0389,C,BioLegend,FALSE,NA,NA,NA
CD38,Su_2020,HIT2,303543,0389,C,NA,FALSE,NA,NA,NA
CD38,LeCoz_2021,HIT2,303543,0389,C,BioLegend,FALSE,NA,NA,NA
CD38,Hao_2021,HB-7,356635,0410,A,BioLegend,FALSE,AB_2800967,NA,NA
CD38,PomboAntunes_2021,HB-7,356635,0410,A,BioLegend,FALSE,AB_2800967,NA,NA
CD38,Mimitou_2021,HB-7,356635,0410,A,BioLegend,FALSE,NA,NA,NA
CD38,Qian_2020,HB-7,356635,0410,A,BioLegend,FALSE,NA,NA,NA
CD38,Trzupek_2021,HIT2,940013,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD38,Qi_2020,HB-7,940466,AHS0189,NA,BD Biosciences,FALSE,NA,NA,NA
CD38,Fernandez_2020,REA572,custom made,NA,NA,Miltenyi,FALSE,NA,NA,NA
CD38,Kotliarov_2020,HIT2,custom made (similar to 96298),0389,A,BioLegend,FALSE,NA,B267191,TRUE
CD38,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD38,Mair_2020,HIT2,NA,AHS0022,NA,BD Biosciences,FALSE,NA,NA,NA
CD38,Trzupek_2020,HIT2,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD38,Trzupek_2020,HIT2,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD39,Hao_2021,A1,328233,0176,A,BioLegend,FALSE,AB_2750005,NA,NA
CD39,Kotliarov_2020,A1,328233,0176,A,BioLegend,FALSE,AB_2750005,B263621,FALSE
CD39,Wu_2021_b,A1,328233,0176,A,BioLegend,FALSE,AB_2750005,NA,NA
CD39,PomboAntunes_2021,A1,328233,0176,A,BioLegend,FALSE,AB_2750005,NA,NA
CD39,Mimitou_2021,A1,328233,0176,A,BioLegend,FALSE,NA,NA,NA
CD39,Qian_2020,A1,328233,0176,A,BioLegend,FALSE,NA,NA,NA
CD39,Buus_2021,A1,328237,0176,C,BioLegend,FALSE,AB_2800853,NA,NA
CD39,Liu_2021,A1,328237,0176,C,BioLegend,FALSE,AB_2800853,NA,NA
CD39,Shangguan_2021,A1,328237,0176,C,BioLegend,FALSE,AB_2800853,NA,NA
CD39,Stephenson_2021,A1,328237,0176,C,BioLegend,FALSE,NA,NA,NA
CD39,Su_2020,A1,328237,0176,C,NA,FALSE,NA,NA,NA
CD39,LeCoz_2021,A1,328237,0176,C,BioLegend,FALSE,NA,NA,NA
CD39,Trzupek_2021,TU66,940073,AHS0006,NA,BD Biosciences,FALSE,NA,NA,NA
CD39,Qi_2020,TU66,940073,AHS0006,NA,BD Biosciences,FALSE,NA,NA,NA
CD39,Mair_2020,TU66,NA,AHS0006,NA,BD Biosciences,FALSE,NA,NA,NA
CD39,Trzupek_2020,TU66,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD39,Trzupek_2020,TU66,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD39,Trzupek_2020,TU66,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD3e,Stoeckius_2017,UCHT1,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD3E,Mimitou_2019,UCHT1,NA,NA,NA,NA,FALSE,NA,NA,NA
CD4,Kaufmann_2021,RPA-T4,300501,NA,NA,BioLegend,FALSE,NA,B226034,NA
CD4,Fernandez_2020,RPA-T4,300502,NA,NA,BioLegend,FALSE,NA,NA,NA
CD4,Cadot_2020,RPA-T4,300563,0072,A,BioLegend,FALSE,AB_2734247,NA,NA
CD4,Hao_2021,RPA-T4,300563,0072,A,BioLegend,FALSE,AB_2734247,NA,NA
CD4,Pont_2020,RPA-T4,300563,0072,A,BioLegend,FALSE,AB_2734247,NA,NA
CD4,Wu_2021_b,RPA-T4,300563,0072,A,BioLegend,FALSE,AB_2734247,NA,NA
CD4,PomboAntunes_2021,RPA-T4,300563,0072,A,BioLegend,FALSE,AB_2734247,NA,NA
CD4,Mimitou_2021,RPA-T4,300563,0072,A,BioLegend,FALSE,NA,NA,NA
CD4,Qian_2020,RPA-T4,300563,0072,A,BioLegend,FALSE,NA,NA,NA
CD4,Nathan_2021,RPA-T4,300563,0072,NA,NA,FALSE,AB_2734247,NA,NA
CD4,Stuart_2019,RPA-T4,300563,0072,NA,NA,FALSE,AB_2734247,NA,NA
CD4,Granja_2019,RPA-T4,300565,NA,B,BioLegend,FALSE,NA,NA,NA
CD4,Buus_2021,RPA-T4,300567,0072,C,BioLegend,FALSE,AB_2800725,NA,NA
CD4,Liu_2021,RPA-T4,300567,0072,C,BioLegend,FALSE,AB_2800725,NA,NA
CD4,Shangguan_2021,RPA-T4,300567,0072,C,BioLegend,FALSE,AB_2800725,NA,NA
CD4,Stephenson_2021,RPA-T4,300567,0072,C,BioLegend,FALSE,NA,NA,NA
CD4,Su_2020,RPA-T4,300567,0072,C,NA,FALSE,NA,NA,NA
CD4,LeCoz_2021,RPA-T4,300567,0072,C,BioLegend,FALSE,NA,NA,NA
CD4,Arunachalam_2020,OKT4,317451,0922,A,BioLegend,FALSE,AB_2814173,NA,NA
CD4,PomboAntunes_2021,OKT4,317451,0922,A,BioLegend,FALSE,AB_2814173,NA,NA
CD4,Granja_2019,SK3,344649,0045,A,BioLegend,FALSE,AB_2749969,NA,NA
CD4,Hao_2021,SK3,344649,0045,A,BioLegend,FALSE,AB_2749969,NA,NA
CD4,Kotliarov_2020,SK3,344649,0045,A,BioLegend,FALSE,AB_2749969,B264735,FALSE
CD4,Pei_2020,SK3,344649,0045,A,NA,FALSE,AB_2749969,NA,NA
CD4,Witkowski_2020,SK3,344649,0045,A,BioLegend,FALSE,AB_2749969,B270517,NA
CD4,PomboAntunes_2021,SK3,344649,0045,A,BioLegend,FALSE,AB_2749969,NA,NA
CD4,Mimitou_2021,SK3,344649,0045,A,BioLegend,FALSE,NA,NA,NA
CD4,Poch_2021,SK3,344649,0045,NA,Biolegend,FALSE,AB_2749969,NA,NA
CD4,Lee_2021,NA,344651,0045,C,BioLegend,FALSE,NA,NA,NA
CD4,Trzupek_2021,SK3,940001,AHS0032,NA,BD Biosciences,FALSE,NA,NA,NA
CD4,Qi_2020,SK3,940001,AHS0032,NA,BD Biosciences,FALSE,NA,NA,NA
CD4,Hao_2021,RPA-T4,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD4,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD4,Mair_2020,SK3,NA,AHS0032,NA,BD Biosciences,FALSE,NA,NA,NA
CD4,Mimitou_2019,RPA-T4,NA,NA,NA,NA,FALSE,NA,NA,NA
CD4,Stoeckius_2017,RPA-T4,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD4,Stoeckius_2018,RPA-T4,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD4,10x29May2019,NA,NA,NA,B,BioLegend,FALSE,NA,NA,NA
CD4,10x7July2020,RPA-T4,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD4,10x19Nov2018,NA,NA,NA,B,BioLegend,FALSE,NA,NA,NA
CD4,10x24July2019,RPA-T4,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD4,10x19Nov2018-2,NA,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD4,10x24July2019-2,RPA-T4,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD4,Trzupek_2020,SK3,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD4,Wang_2020_PBMC,NA,NA,NA,A,BioLegend,FALSE,NA,NA,NA
CD4,RinconArevalo_2021,SK3,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD40,Hao_2021,5C3,334346,0031,A,BioLegend,FALSE,AB_2749968,NA,NA
CD40,Kotliarov_2020,5C3,334346,0031,A,BioLegend,FALSE,AB_2749968,B264734,FALSE
CD40,Wu_2021_b,5C3,334346,0031,A,BioLegend,FALSE,AB_2749968,NA,NA
CD40,PomboAntunes_2021,5C3,334346,0031,A,BioLegend,FALSE,AB_2749968,NA,NA
CD40,Mimitou_2021,5C3,334346,0031,A,BioLegend,FALSE,NA,NA,NA
CD40,Qian_2020,5C3,334346,0031,A,BioLegend,FALSE,NA,NA,NA
CD40,Liu_2021,5C3,334348,0031,C,BioLegend,FALSE,AB_2800886,NA,NA
CD40,Stephenson_2021,5C3,334348,0031,C,BioLegend,FALSE,NA,NA,NA
CD40,Su_2020,5C3,334348,0031,C,NA,FALSE,NA,NA,NA
CD40,LeCoz_2021,5C3,334348,0031,C,BioLegend,FALSE,NA,NA,NA
CD40,Mair_2020,5C2,NA,AHS0117,NA,BD Biosciences,FALSE,NA,NA,NA
CD40L,Wu_2021_b,24-31,310843,0032,A,BioLegend,FALSE,AB_2734283,NA,NA
CD40L (CD154),Trzupek_2021,TRAP1,940053,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD40L (CD154),Trzupek_2020,TRAP1,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD40L (CD154),Trzupek_2020,TRAP1,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD41,Hao_2021,HIP8,303737,0353,A,BioLegend,FALSE,AB_2783162,NA,NA
CD41,Witkowski_2020,HIP8,303737,0353,A,BioLegend,FALSE,AB_2783162,B271597,NA
CD41,PomboAntunes_2021,HIP8,303737,0353,A,BioLegend,FALSE,AB_2783162,NA,NA
CD41,Mimitou_2021,HIP8,303737,0353,A,BioLegend,FALSE,NA,NA,NA
CD41,Qian_2020,HIP8,303737,0353,A,BioLegend,FALSE,NA,NA,NA
CD41,Liu_2021,HIP8,303739,0353,C,BioLegend,FALSE,AB_2814134,NA,NA
CD41,Stephenson_2021,HIP8,303739,0353,C,BioLegend,FALSE,NA,NA,NA
CD41,Su_2020,HIP8,303739,0353,C,NA,FALSE,NA,NA,NA
CD41,LeCoz_2021,HIP8,303739,0353,C,BioLegend,FALSE,NA,NA,NA
CD41,Fidanza_2020,HIP8,NA,NA,A,BioLegend,FALSE,NA,NA,NA
CD42b,Hao_2021,HIP1,303937,0216,A,BioLegend,FALSE,AB_2783163,NA,NA
CD42b,Witkowski_2020,HIP1,303937,0216,A,BioLegend,FALSE,AB_2783163,B271616,NA
CD42b,PomboAntunes_2021,HIP1,303937,0216,A,BioLegend,FALSE,AB_2783163,NA,NA
CD42b,Mimitou_2021,HIP1,303937,0216,A,BioLegend,FALSE,NA,NA,NA
CD42b,Qian_2020,HIP1,303937,0216,A,BioLegend,FALSE,NA,NA,NA
CD42b,LeCoz_2021,HIP1,303941,0216,C,BioLegend,FALSE,NA,NA,NA
CD43,Hao_2021,CD43-10G7,343209,0357,A,BioLegend,FALSE,AB_2800915,NA,NA
CD43,PomboAntunes_2021,CD43-10G7,343209,0357,A,BioLegend,FALSE,AB_2800915,NA,NA
CD43,Mimitou_2021,CD43-10G7,343209,0357,A,BioLegend,FALSE,NA,NA,NA
CD43,Qian_2020,CD43-10G7,343209,0357,A,BioLegend,FALSE,NA,NA,NA
CD44,Hao_2021,IM7,103045,NA,A,BioLegend,FALSE,NA,NA,NA
CD44,Mimitou_2021,IM7,103045,0073,A,BioLegend,FALSE,NA,NA,NA
CD44,Qian_2020,IM7,103045,0073,A,BioLegend,FALSE,NA,NA,NA
CD44,Liu_2021,IM7,103063,0073,C,BioLegend,FALSE,AB_2813930,NA,NA
CD44,Stephenson_2021,IM7,103063,0073,C,BioLegend,FALSE,NA,NA,NA
CD44,Su_2020,IM7,103063,0073,C,NA,FALSE,NA,NA,NA
CD44,LeCoz_2021,IM7,103063,0073,C,BioLegend,FALSE,NA,NA,NA
CD44,Hao_2021,BJ18,338825,0125,A,BioLegend,FALSE,AB_2750345,NA,NA
CD44,Wu_2021_b,BJ18,338825,0125,A,BioLegend,FALSE,AB_2750345,NA,NA
CD44,PomboAntunes_2021,BJ18,338825,0125,A,BioLegend,FALSE,AB_2750345,NA,NA
CD44,Mimitou_2021,BJ18,338825,0125,A,BioLegend,FALSE,NA,NA,NA
CD44,Qian_2020,BJ18,338825,0125,A,BioLegend,FALSE,NA,NA,NA
CD44,Buus_2021,BJ18,338827,0125,C,BioLegend,FALSE,NA,NA,NA
CD44,Hao_2021,BJ18,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD44,Mimitou_2019,BJ18,NA,NA,NA,NA,FALSE,NA,NA,NA
